,timestamp,UNISWAP_V3_token0_amount,UNISWAP_V3_token1_amount,UNISWAP_V3_price_init,UNISWAP_V3_price_lower,UNISWAP_V3_price_upper,UNISWAP_V3_liquidity,UNISWAP_V3_cash,UNISWAP_V3_tvl,UNISWAP_V3_volume,UNISWAP_V3_fees,UNISWAP_V3_price,UNISWAP_V3_balance,net_balance
2666,2024-05-01 02:00:00+00:00,137806.43364868598,352.5851458692428,3247.99,2915.501199544596,3618.3963984469733,1.4860133527086868e+18,51363.18027429491,339770740.5436031,884146.9946233166,2652.44098386995,2986.59,1242196.8847246028,1242196.8847246028
2667,2024-05-01 03:00:00+00:00,169249.13393216734,342.08586803375266,3247.99,2915.501199544596,3618.3963984469733,1.4860133527086868e+18,51692.44010547409,339770740.5436031,884146.9946233166,2652.44098386995,3002.93,1248201.4897322382,1248201.4897322382
2668,2024-05-01 04:00:00+00:00,173245.48780454067,340.75551050292694,3247.99,2915.501199544596,3618.3963984469733,1.4860133527086868e+18,52021.69993665327,339770740.5436031,884146.9946233166,2652.44098386995,3005.01,1249240.9043575944,1249240.9043575944
2669,2024-05-01 05:00:00+00:00,150709.4731202242,348.26965874560227,3247.99,2915.501199544596,3618.3963984469733,1.4860133527086868e+18,52350.95976783245,339770740.5436031,884146.9946233166,2652.44098386995,2993.29,1245532.5197146805,1245532.5197146805
2670,2024-05-01 06:00:00+00:00,72414.16381209715,374.605549236118,3247.99,2915.501199544596,3618.3963984469733,1.4860133527086868e+18,52680.21959901163,339770740.5436031,884146.9946233166,2652.44098386995,2952.75,1231210.9189180562,1231210.9189180562
2671,2024-05-01 07:00:00+00:00,597217.0558136527,207.57450946184593,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,0.0,339770740.5436031,884146.9946233166,2652.44098386995,2868.49,1192642.460459863,1192642.460459863
2672,2024-05-01 08:00:00+00:00,583702.7989273565,212.91599652285933,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,331.34236777873457,339770740.5436031,884146.9946233166,2652.44098386995,2861.67,1193329.461064706,1193329.461064706
2673,2024-05-01 09:00:00+00:00,608915.1033603159,204.1251810266786,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,662.6847355574693,339770740.5436031,884146.9946233166,2652.44098386995,2874.4,1196315.2084389585,1196315.2084389585
2674,2024-05-01 10:00:00+00:00,645633.303652258,191.3920760909238,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,994.0271033362039,339770740.5436031,884146.9946233166,2652.44098386995,2892.99,1200322.692965876,1200322.692965876
2675,2024-05-01 11:00:00+00:00,667698.1509108125,183.77979272644527,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,1325.3694711149378,339770740.5436031,884146.9946233166,2652.44098386995,2904.19,1202754.9566201426,1202754.9566201426
2676,2024-05-01 12:00:00+00:00,690761.572030538,175.8543521553913,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,1656.7118388936722,339770740.5436031,884146.9946233166,2652.44098386995,2915.92,1205195.5064063803,1205195.5064063803
2677,2024-05-01 13:00:00+00:00,637288.7745303148,194.27858324020445,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,1988.0542066724065,339770740.5436031,884146.9946233166,2652.44098386995,2888.76,1200501.0288579601,1200501.0288579601
2678,2024-05-01 14:00:00+00:00,668741.2357638143,183.42065999505783,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,2319.3965744511406,339770740.5436031,884146.9946233166,2652.44098386995,2904.72,1203846.2918391097,1203846.2918391097
2679,2024-05-01 15:00:00+00:00,628503.6540010403,197.32206725795479,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,2650.7389422298747,339770740.5436031,884146.9946233166,2652.44098386995,2884.31,1200292.4047560617,1200292.4047560617
2680,2024-05-01 16:00:00+00:00,639281.7583922643,193.58879400578272,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,2982.0813100086093,339770740.5436031,884146.9946233166,2652.44098386995,2889.77,1201690.9289563636,1201690.9289563636
2681,2024-05-01 17:00:00+00:00,699518.6089237037,172.8534647952101,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,3313.423677787344,339770740.5436031,884146.9946233166,2652.44098386995,2920.38,1207629.8341201267,1207629.8341201267
2682,2024-05-01 18:00:00+00:00,831846.3183960661,128.05872601602871,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,3644.766045566078,339770740.5436031,884146.9946233166,2652.44098386995,2988.19,1218154.888935469,1218154.888935469
2683,2024-05-01 19:00:00+00:00,708190.5126612801,169.8862657639052,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,3976.108413344813,339770740.5436031,884146.9946233166,2652.44098386995,2924.8,1209049.9711808949,1209049.9711808949
2684,2024-05-01 20:00:00+00:00,736769.2281024731,160.13937697158545,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,4307.450781123547,339770740.5436031,884146.9946233166,2652.44098386995,2939.39,1211788.7621601052,1211788.7621601052
2685,2024-05-01 21:00:00+00:00,789470.0464687095,142.2919904680937,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,4638.793148902282,339770740.5436031,884146.9946233166,2652.44098386995,2966.39,1216202.3772222602,1216202.3772222602
2686,2024-05-01 22:00:00+00:00,792897.0159324973,141.137067048757,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,4970.135516681017,339770740.5436031,884146.9946233166,2652.44098386995,2968.15,1216783.1370099464,1216783.1370099464
2687,2024-05-01 23:00:00+00:00,797685.282520002,139.524519312091,2868.49,2574.8496873086674,3195.6175619325054,1.4860133527086868e+18,5301.477884459751,339770740.5436031,884146.9946233166,2652.44098386995,2970.61,1217459.6927181524,1217459.6927181524
2688,2024-05-02 00:00:00+00:00,751627.9217314767,155.09087313269043,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,5429.5465094810115,343778506.43410814,342864.9189215033,1028.5947567645098,2946.99,1214108.7204542651,1214108.7204542651
2689,2024-05-02 01:00:00+00:00,669292.2610429202,183.23096917355616,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,5557.615134502272,343778506.43410814,342864.9189215033,1028.5947567645098,2905.0,1207135.8416266032,1207135.8416266032
2690,2024-05-02 02:00:00+00:00,691723.9953308059,175.52432168603735,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,5685.683759523532,343778506.43410814,342864.9189215033,1028.5947567645098,2916.41,1209310.5660987056,1209310.5660987056
2691,2024-05-02 03:00:00+00:00,714464.7254758051,167.74226161125787,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,5813.752384544792,343778506.43410814,342864.9189215033,1028.5947567645098,2928.0,1211427.8198581128,1211427.8198581128
2692,2024-05-02 04:00:00+00:00,701677.3880364039,172.1143922563368,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,5941.821009566052,343778506.43410814,342864.9189215033,1028.5947567645098,2921.48,1210447.9637350128,1210447.9637350128
2693,2024-05-02 05:00:00+00:00,688915.0642110907,176.4877047573713,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,6069.889634587313,343778506.43410814,342864.9189215033,1028.5947567645098,2914.98,1209443.0834593202,1209443.0834593202
2694,2024-05-02 06:00:00+00:00,685987.5427869384,177.49226393664563,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,6197.958259608573,343778506.43410814,342864.9189215033,1028.5947567645098,2913.49,1209307.4371033246,1209307.4371033246
2695,2024-05-02 07:00:00+00:00,698537.2112896765,173.1895449141169,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,6326.026884629833,343778506.43410814,342864.9189215033,1028.5947567645098,2919.88,1210555.926578138,1210555.926578138
2696,2024-05-02 08:00:00+00:00,738842.7766392259,159.43406915013213,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,6454.095509651093,343778506.43410814,342864.9189215033,1028.5947567645098,2940.45,1214104.780781383,1214104.780781383
2697,2024-05-02 09:00:00+00:00,747739.1435193728,156.4108952080529,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,6582.164134672354,343778506.43410814,342864.9189215033,1028.5947567645098,2945.0,1214951.3940417608,1214951.3940417608
2698,2024-05-02 10:00:00+00:00,785418.6806808289,143.6582258322308,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,6710.232759693614,343778506.43410814,342864.9189215033,1028.5947567645098,2964.31,1217976.4288572627,1217976.4288572627
2699,2024-05-02 11:00:00+00:00,843966.9456940951,124.00678434083416,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,6838.301384714874,343778506.43410814,342864.9189215033,1028.5947567645098,2994.44,1222136.1223803775,1222136.1223803775
2700,2024-05-02 12:00:00+00:00,818256.1576285016,132.61201969529225,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,6966.370009736134,343778506.43410814,342864.9189215033,1028.5947567645098,2981.19,1220564.1546336461,1220564.1546336461
2701,2024-05-02 13:00:00+00:00,785964.1396175217,143.4742257859147,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,7094.4386347573945,343778506.43410814,342864.9189215033,1028.5947567645098,2964.59,1218400.833274944,1218400.833274944
2702,2024-05-02 14:00:00+00:00,836851.2481325839,126.38454515431171,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,7222.507259778655,343778506.43410814,342864.9189215033,1028.5947567645098,2990.77,1222060.8615035233,1222060.8615035233
2703,2024-05-02 15:00:00+00:00,832738.8284351126,127.76006985602119,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,7350.575884799915,343778506.43410814,342864.9189215033,1028.5947567645098,2988.65,1221919.5370951104,1221919.5370951104
2704,2024-05-02 16:00:00+00:00,815924.8143646999,133.39419480526647,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,7478.644509821175,343778506.43410814,342864.9189215033,1028.5947567645098,2979.99,1220916.8254522672,1220916.8254522672
2705,2024-05-02 17:00:00+00:00,837743.3731544648,126.08627533668611,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,7606.7131348424355,343778506.43410814,342864.9189215033,1028.5947567645098,2991.23,1222503.1356646628,1222503.1356646628
2706,2024-05-02 18:00:00+00:00,836269.3905033445,126.57910602462363,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,7734.781759863696,343778506.43410814,342864.9189215033,1028.5947567645098,2990.47,1222535.1914566644,1222535.1914566644
2707,2024-05-02 19:00:00+00:00,851736.8798150638,121.41373295481337,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,7862.850384884956,343778506.43410814,342864.9189215033,1028.5947567645098,2998.45,1223652.7377783088,1223652.7377783088
2708,2024-05-02 20:00:00+00:00,824917.3276962604,130.37890426965362,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,7990.919009906216,343778506.43410814,342864.9189215033,1028.5947567645098,2984.62,1222039.7319674601,1222039.7319674601
2709,2024-05-02 21:00:00+00:00,845439.9510491259,123.51493328905518,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,8118.987634927476,343778506.43410814,342864.9189215033,1028.5947567645098,2995.2,1223510.8668714315,1223510.8668714315
2710,2024-05-02 22:00:00+00:00,846563.9609893549,123.13969920531689,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,8247.056259948737,343778506.43410814,342864.9189215033,1028.5947567645098,2995.78,1223710.4653346078,1223710.4653346078
2711,2024-05-02 23:00:00+00:00,825266.7877422733,130.26182085244648,2868.49,2574.8496873086674,3195.6175619325054,1.4916250341488494e+18,8375.124884969997,343778506.43410814,342864.9189215033,1028.5947567645098,2984.8,1222447.3955076255,1222447.3955076255
2712,2024-05-03 00:00:00+00:00,820878.3580174982,131.73263700822184,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8437.662581554494,352641784.08907604,913796.8477652278,2741.3905432956835,2982.54,1222213.8797815545,1222213.8797815545
2713,2024-05-03 01:00:00+00:00,865810.2818101227,116.72585359378235,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8500.200278138991,352641784.08907604,913796.8477652278,2741.3905432956835,3005.72,1225155.7147521651,1225155.7147521651
2714,2024-05-03 02:00:00+00:00,874493.6072249688,113.83907537883262,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8562.737974723488,352641784.08907604,913796.8477652278,2741.3905432956835,3010.21,1225735.868295808,1225735.868295808
2715,2024-05-03 03:00:00+00:00,870839.277862631,115.05343487941597,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8625.275671307985,352641784.08907604,913796.8477652278,2741.3905432956835,3008.32,1225582.1027503836,1225582.1027503836
2716,2024-05-03 04:00:00+00:00,859114.4741415334,118.95482532103853,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8687.813367892482,352641784.08907604,913796.8477652278,2741.3905432956835,3002.26,1224935.601377767,1224935.601377767
2717,2024-05-03 05:00:00+00:00,846970.9032754102,123.0038654579254,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8750.35106447698,352641784.08907604,913796.8477652278,2741.3905432956835,2995.99,1224239.605213177,1224239.605213177
2718,2024-05-03 06:00:00+00:00,817343.1040915165,132.91831534209746,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8812.888761061477,352641784.08907604,913796.8477652278,2741.3905432956835,2980.72,1222348.2737590747,1222348.2737590747
2719,2024-05-03 07:00:00+00:00,792274.0061632986,141.34697670819145,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8875.426457645974,352641784.08907604,913796.8477652278,2741.3905432956835,2967.83,1220643.2305048166,1220643.2305048166
2720,2024-05-03 08:00:00+00:00,798152.3243138731,139.36730482465794,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,8937.96415423047,352641784.08907604,913796.8477652278,2741.3905432956835,2970.85,1221129.6460064384,1221129.6460064384
2721,2024-05-03 09:00:00+00:00,819421.6533064224,132.22110921636377,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,9000.501850814968,352641784.08907604,913796.8477652278,2741.3905432956835,2981.79,1222677.7364074988,1222677.7364074988
2722,2024-05-03 10:00:00+00:00,795777.9993612268,140.1666762568377,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,9063.039547399465,352641784.08907604,913796.8477652278,2741.3905432956835,2969.63,1221084.205721219,1221084.205721219
2723,2024-05-03 11:00:00+00:00,812835.0613980237,134.43130485569472,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,9125.577243983962,352641784.08907604,913796.8477652278,2741.3905432956835,2978.4,1222350.8370242089,1222350.8370242089
2724,2024-05-03 12:00:00+00:00,919469.6919840199,98.95541271161721,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,9188.11494056846,352641784.08907604,913796.8477652278,2741.3905432956835,3033.52,1228841.0304935335,1228841.0304935335
2725,2024-05-03 13:00:00+00:00,969298.4511868655,82.59911670556306,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,9250.652637152956,352641784.08907604,913796.8477652278,2741.3905432956835,3059.45,1231256.9714288532,1231256.9714288532
2726,2024-05-03 14:00:00+00:00,957441.7910335775,86.47845886841041,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,9313.190333737453,352641784.08907604,913796.8477652278,2741.3905432956835,3053.27,1230797.0654764664,1230797.0654764664
2727,2024-05-03 15:00:00+00:00,997395.7683690486,73.43727538059133,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,9375.72803032195,352641784.08907604,913796.8477652278,2741.3905432956835,3074.12,1232526.4933923539,1232526.4933923539
2728,2024-05-03 16:00:00+00:00,981813.6007812709,78.51282179863256,2868.49,2574.8496873086674,3195.6175619325054,9.086843896644224e+18,9438.265726906448,352641784.08907604,913796.8477652278,2741.3905432956835,3065.98,1231970.6078863489,1231970.6078863489
